Coral;Fish;Age class;intercept;low.int;high.int;estimate.coral;low.coral;high.coral;estimate.turf;low.turf;high.turf;Bayesian P-value
agaricia spp;;;;;;;;;;;;
;eucinostomus melanopterus;1;-0.9;-4.82;2.31;29.35;-2.38;64.86;7.05;0.7;15.5;0.503
;lutjanus cyanopterus;1;-1.13;-5.44;2.21;24.05;-17.64;72.02;12.43;0.61;43.8;0.306
;calamus penna;1;-0.18;-3.43;2.92;-14.78;-51.98;13.74;-13.82;-65.05;37.7;0.625
;seriola rivoliana;1;-0.09;-3.36;2.98;-15.29;-51.08;13.15;-3.47;-59.7;51.43;0.617
;parablennius pilicornis;1;-0.38;-3.54;2.56;-5.85;-55.46;40.8;17.64;-11.65;53.77;0.717
;pareques acuminatus;1;-0.19;-3.25;2.79;-5.88;-51.96;35.61;25.87;-11.08;62.76;0.698
;rhomboplites aurorubens;1;-1.56;-5.64;2.04;10.44;-6.98;32.29;2.06;-0.64;6.12;0.555
;sphoeroides testudineus;1;-0.1;-3.14;2.98;0.33;-49.48;41.3;26.1;-12.56;68.49;0.797
;myripristis jacobus;1;-0.82;-4.16;2.05;39.58;10.61;76.96;1.63;-6.69;11.29;0.528
;acanthurus chirurgus;2;-2.42;-4.83;-0.27;-5.95;-16.39;0.24;-1.65;-3.54;-0.43;0.529
;chaenopsis ocellata;2;-3.32;-5.53;-1.7;-4.03;-11.69;-0.07;-0.98;-1.96;-0.04;0.56
;sparisoma frondosum;2;-0.48;-3.31;2.42;-23.13;-67.22;-0.61;-4.08;-13.11;1.35;0.623
;sparisoma axillare;2;-0.1;-3.05;2.73;-30.54;-68.02;-0.77;-18.61;-42.12;-0.95;0.338
;sparisoma radians;2;1.15;-0.73;3.75;7.32;0.56;17.6;-0.78;-2.14;0.3;0.416
;stegastes variabilis;2;0.15;-1.4;2.46;6.53;0.11;26.38;3.48;-0.06;22.95;0.199
;thalassoma noronhanum;2;-2.28;-4.44;-0.9;-5.23;-13.3;-0.49;-0.79;-1.54;-0.09;0.266
;acanthurus coeruleus;2;0.16;-1.66;2.8;4.42;-0.56;14.09;-2.02;-5.88;-0.17;0.099
;chaetodon striatus;2;3.07;1.09;6.04;2.72;-0.66;10.37;1.12;-0.17;2.68;0
;stegastes fuscus;2;2.18;0.79;4.45;5.35;0.54;13.87;0.68;0.03;1.4;0.01
;amblycirrhitus pinos;2;-0.24;-3.28;2.72;8.33;-36.39;47.94;-31.79;-69.16;-0.48;0.712
;chromis multilineata;2;2.15;-0.29;5.63;2.95;-1.85;11.52;4.99;0.36;13.97;0.231
;haemulon squamipinna;2;-0.21;-2.76;2.19;22.38;5.53;46.73;-38.5;-72.26;-12.61;0.072
;halichoeres brasiliensis;2;0.89;-1.74;3.79;9.53;-36.99;38.8;-1.32;-19.76;22.48;0.293
;halichoeres penrosei;2;-0.24;-3.14;2.67;-10.95;-39.64;10.32;-28.52;-63.11;-5.07;0.245
;halichoeres poeyi;2;0.03;-0.93;1.6;1.59;-0.68;7.88;0.41;-0.36;1.24;0.016
;ophioblennius macclurei;2;-0.11;-3.02;2.69;-0.65;-47.52;42.7;-31.54;-67.83;1.09;0.793
;serranus baldwini;2;-2.01;-4.05;-0.56;-6.46;-16.35;-0.46;0.56;-0.52;1.28;0.031
;haemulon aurolineatum;2;0.75;-1.64;3.57;-28.96;-63.51;-0.94;22.65;3.5;47.59;0.54
;abudefduf saxatilis;2;1.93;0.41;4.21;5.64;0.68;14.37;1.34;0.35;2.5;0.075
;stegastes rocasensis;2;-2.61;-4.76;-1.25;-4.52;-12.58;-0.23;-0.19;-0.93;0.56;0.447
;apogon americanus;2;-0.07;-3.14;2.87;-19.68;-54.82;11.57;-9.04;-52.63;44.55;0.702
;halichoeres radiatus;2;-0.01;-2.77;2.74;-37.29;-75.37;-5.19;-2.04;-10.37;4.57;0.478
;coryphopterus glaucofraenum;2;0.18;-2.69;3.18;-34.87;-74.48;-2.46;-2.52;-11.73;3.98;0.7
;acanthurus bahianus;2;-1.98;-3.59;0.22;-1.49;-10.54;6.4;4.09;-0.08;25.85;0.038
;cryptotomus roseus;2;1.16;-0.67;3.56;7.64;0.05;17.33;0.27;-0.5;1.12;0
;sparisoma tuiupiranga;2;-0.73;-1.53;0.41;1.17;-0.16;5.9;-0.01;-0.71;0.7;0.117
;haemulon plumierii;2;-0.64;-3.63;2.15;43.52;13.97;83.04;2.48;-5.47;12.4;0.335
;canthigaster figueiredoi;2;0.85;-0.92;3.26;-9.27;-28.54;0.64;5.39;0.5;14.62;0.008
;malacoctenus delalandii;2;-0.32;-3.8;2.79;-12.85;-57.1;27.38;11.05;-29.47;57.71;0.612
;ocyurus chrysurus;2;-0.48;-4.16;2.82;-10.32;-59.93;30.59;15.45;-22.18;53.94;0.607
;pomacanthus paru;2;-0.37;-3.78;2.79;-8.98;-53.05;30.39;16.39;-19.76;61.63;0.608
