Coral;Fish;Age class;intercept;low.int;high.int;estimate.coral;low.coral;high.coral;estimate.turf;low.turf;high.turf;Bayesian P-value
agaricia spp;;;;;;;;;;;;
millepora alcicornis;holocentrus adscensionis;2;-0.55;-3.76;2.27;40.05;9.22;81.04;2.76;-11.71;19.29;0.303
millepora alcicornis;pseudupeneus maculatus;2;-0.71;-2.97;2.04;10.57;0.8;27.73;6.32;-0.39;33.49;0.074
millepora alcicornis;stephanolepis hispidus;2;-1.34;-4.41;1.93;32.65;1.72;71.07;4.08;-4.67;16.51;0.035
millepora alcicornis;bodianus rufus;2;-0.25;-3.16;2.6;17.34;-1.71;47.1;25.46;0.89;64.13;0.352
millepora alcicornis;diplodus argenteus;2;0.02;-2.83;3;16.39;2.6;37.74;36.33;9.31;71.43;0.386
millepora alcicornis;sphoeroides greeleyi;2;-0.27;-3.63;2.73;1.37;-46.75;40.76;26;-2.63;65.93;0.708
millepora alcicornis;anisotremus virginicus;2;-0.22;-3.44;2.63;1.79;-48.14;46.19;24.84;-9.62;61.41;0.713
millepora alcicornis;labrisomus nuchipinnis;2;-0.27;-3.58;2.84;-1.86;-51.79;40.73;23.51;-11.19;65.08;0.7
millepora alcicornis;sphoeroides testudineus;2;-0.25;-3.5;2.85;-1.88;-50.08;40.96;24.45;-11.75;61.08;0.697
millepora alcicornis;synodus synodus;2;-0.31;-3.78;2.73;-7.92;-53.24;33.59;22.05;-20;62.46;0.732
millepora alcicornis;sparisoma amplum;2;-0.54;-3.89;2.45;35.21;4.73;75.56;-0.34;-35.38;25.53;0.704
;;;;;;;;;;;;
montastraea cavernosa;acanthurus bahianus;1;2.45;1.05;4.67;5.54;0.32;14.92;0.22;-0.51;0.91;0.024
montastraea cavernosa;acanthurus chirurgus;1;1.09;0.36;1.92;-0.74;-1.86;0.06;-0.78;-1.82;0.09;0
montastraea cavernosa;haemulon plumierii;1;1.5;-0.75;4.43;7.15;-0.4;16.8;-2.31;-8.12;-0.03;0.017
montastraea cavernosa;halichoeres dimidiatus;1;-1.14;-3.17;1.56;-4.92;-19.69;5.58;-3.33;-13.54;-0.07;0.087
montastraea cavernosa;ocyurus chrysurus;1;1.24;-0.7;3.81;11.99;3.58;23.21;0.02;-0.82;0.9;0.002
montastraea cavernosa;pomacanthus arcuatus;1;-0.17;-2.44;2.33;17.1;5.26;31.03;0.73;-1.09;3.01;0.07
montastraea cavernosa;pseudupeneus maculatus;1;2.05;0.7;4.37;0.61;-1.97;7.6;-1.24;-3.17;0.11;0.012
montastraea cavernosa;sparisoma axillare;1;2.6;1.21;4.8;4.97;0.15;14.08;-0.85;-1.95;0.08;0.001
montastraea cavernosa;sparisoma frondosum;1;2.34;0.92;4.63;5.78;0.45;15.39;0.12;-0.6;0.82;0.071
montastraea cavernosa;thalassoma noronhanum;1;-1.62;-3.16;-0.56;-3.82;-10.15;-0.28;-0.74;-1.46;-0.05;0.001
montastraea cavernosa;abudefduf saxatilis;1;4.88;2.61;8.24;3.55;-0.6;11.85;-0.06;-2.51;1.57;0
montastraea cavernosa;acanthurus coeruleus;1;1.65;0.28;3.75;6.36;0.93;14.92;-0.9;-1.81;-0.1;0.145
montastraea cavernosa;anisotremus virginicus;1;2.75;1.27;5.11;4.96;0.09;13.88;-0.14;-1.72;0.96;0.011
montastraea cavernosa;bodianus rufus;1;0.49;-0.28;1.48;-0.01;-1.71;2.88;0.43;-0.25;1.17;0.012
montastraea cavernosa;carangoides bartholomaei;1;-1.07;-2.69;0.23;-4.65;-11.48;-0.47;-0.39;-1.27;0.4;0.027
montastraea cavernosa;caranx ruber;1;0.28;-3.12;3.38;10.18;-25.73;30.97;-1.62;-9.28;0.97;0.413
montastraea cavernosa;haemulon aurolineatum;1;2.08;0.61;4.39;6.6;0.84;16.22;0.28;-0.38;0.96;0
montastraea cavernosa;haemulon parra;1;-0.44;-2.66;2.3;-16.81;-59.26;-0.64;-2.97;-11.01;-0.03;0.472
montastraea cavernosa;halichoeres bivittatus;1;-0.27;-3.26;2.6;15.55;-17.02;47.65;-30.68;-64.52;-2.25;0.282
montastraea cavernosa;halichoeres brasiliensis;1;2.18;0.47;4.8;8.01;1.14;19.01;0.86;0.16;1.65;0.001
montastraea cavernosa;halichoeres poeyi;1;1.49;0.57;3.01;-0.03;-1.81;4.93;0.33;-0.53;1.24;0.003
montastraea cavernosa;holacanthus ciliaris;1;1.14;-0.66;3.5;10.52;3.09;20.61;-0.74;-1.94;0.2;0.252
montastraea cavernosa;holocentrus adscensionis;1;1.38;0.56;2.43;-0.47;-1.85;0.53;0.17;-0.68;1.02;0
montastraea cavernosa;lutjanus jocu;1;1.05;-0.85;3.53;9.18;0.84;19.77;-0.49;-1.35;0.31;0.05
montastraea cavernosa;pomacanthus paru;1;1.76;0.14;4.27;7.89;1.23;18.5;0.09;-0.56;0.75;0.012
montastraea cavernosa;scarus trispinosus;1;0.81;-1.14;3.28;15.06;4.99;30.77;-2.9;-17.17;-0.01;0.005
montastraea cavernosa;scarus zelindae;1;1.4;-0.25;3.7;8.97;2.07;18.73;-0.06;-0.73;0.57;0.007
montastraea cavernosa;sparisoma amplum;1;-0.53;-2.62;2.62;-10.67;-58.15;10.36;-0.91;-7.67;1.27;0.151
montastraea cavernosa;sparisoma radians;1;-1.15;-2.77;0.71;-3.92;-12.14;1.58;-0.31;-1.67;0.76;0.294
montastraea cavernosa;sphyraena barracuda;1;-0.23;-3.5;2.78;15.97;-1.94;35.72;-6.35;-37.02;0.09;0.239
montastraea cavernosa;stegastes variabilis;1;0.53;-2.33;3.43;-32.43;-74.8;9.29;-10.71;-27.15;0.23;0.635
montastraea cavernosa;lutjanus apodus;1;-0.49;-3.75;2.51;18.56;-30.44;65.44;-22.88;-60.89;-2.33;0.723
montastraea cavernosa;acanthostracion polygonius;1;0.04;-2.8;2.98;-15.91;-50.26;8.32;-33.64;-70.41;-6.48;0.396
montastraea cavernosa;amblycirrhitus pinos;1;-0.26;-3.34;2.73;5.29;-40.72;44.71;-27.95;-66.34;1.65;0.704
montastraea cavernosa;anisotremus surinamensis;1;0.26;-2.55;3.28;-32.73;-77.28;1.93;3.13;-5.65;12.65;0.347
montastraea cavernosa;aulostomus maculatus;1;-0.28;-3.36;2.67;8.23;-33.54;48;-30.67;-69.12;-0.28;0.718
montastraea cavernosa;cantherhines pullus;1;-2.37;-4.58;-0.93;-5.74;-15.02;-0.38;-0.32;-1;0.46;0.117
montastraea cavernosa;canthidermis maculata;1;-0.14;-2.27;2.18;17.1;6.25;31.1;0.13;-1.59;2.05;0.313
montastraea cavernosa;cephalopholis fulva;1;-2.4;-4.51;-0.96;-5.53;-14.43;-0.38;-0.33;-1.09;0.41;0.212
montastraea cavernosa;chromis multilineata;1;-1.27;-3.67;0.44;-8.81;-19.43;-1.58;0.23;-0.68;1.16;0.001
montastraea cavernosa;clepticus brasiliensis;1;-0.81;-3.9;2.11;-6.39;-43.02;10.64;0.08;-3.41;4.58;0.404
montastraea cavernosa;epinephelus adscensionis;1;-1.67;-4.14;1.24;-11.33;-47.83;-0.32;2.53;-0.92;17.73;0.629
montastraea cavernosa;halichoeres penrosei;1;-0.06;-2.96;2.83;-14;-47.37;10.71;-34.91;-75.82;-6.62;0.449
montastraea cavernosa;holacanthus tricolor;1;0.27;-2.39;3.32;-23.77;-54.11;-0.64;-30.47;-61.29;-7.85;0.163
montastraea cavernosa;microspathodon chrysurus;1;-2.34;-4.61;-0.82;-5.72;-15.36;-0.22;0.09;-0.86;0.96;0.442
montastraea cavernosa;scomberomorus regalis;1;-0.13;-3.06;2.7;4.28;-42.75;45.56;-30.38;-66.87;0.31;0.794
montastraea cavernosa;halichoeres radiatus;1;-0.36;-1.16;0.93;0.6;-1.06;6.55;-0.12;-0.82;0.58;0.001
montastraea cavernosa;lutjanus analis;1;-0.36;-3.5;2.55;18.44;-27.78;61.53;-23.71;-56.75;-3.55;0.718
montastraea cavernosa;mycteroperca bonaci;1;0.25;-1.69;2.58;12.92;4.16;24.07;-0.02;-1.35;1.4;0.464
montastraea cavernosa;pseudocaranx dentex;1;0.08;-2.77;3.14;-24.03;-64.05;5.21;16.65;1.61;41.7;0.486
montastraea cavernosa;stegastes fuscus;1;-0.61;-1.57;0.24;-1.93;-5.11;0.1;1.59;0.45;3.09;0.082
montastraea cavernosa;bothus ocellatus;1;-0.54;-4.14;2.62;13.02;-38.82;57.21;15.08;0.33;46.25;0.548
montastraea cavernosa;coryphopterus glaucofraenum;1;-1;-4.42;2.48;-18.92;-62.22;5.07;7.66;-0.79;30.92;0.498
montastraea cavernosa;malacanthus plumieri;1;-2.72;-4.86;-1.34;-4.6;-13.48;0;0.31;-0.53;1.26;0.708
montastraea cavernosa;stegastes rocasensis;1;-2.6;-4.68;-1.26;-4.86;-13.56;-0.23;-0.25;-0.98;0.52;0.526
montastraea cavernosa;aluterus scriptus;1;-0.09;-2.3;2.54;6.7;-2.52;18.65;0.43;-0.87;1.9;0.194
montastraea cavernosa;melichthys niger;1;-3.68;-5.89;-2.08;-4.26;-12.6;0.09;-0.36;-1.41;0.71;0.386
montastraea cavernosa;rypticus saponaceus;1;-0.14;-3.19;2.9;-1.58;-49.39;45.04;29.23;1.51;65.52;0.809
montastraea cavernosa;mulloidichthys martinicus;1;-1.03;-4.03;2.22;-10.44;-57.23;13.09;0.08;-5.04;4.56;0.437
montastraea cavernosa;caranx latus;1;-0.46;-3.37;2.52;16.93;-0.21;44.03;17.58;1.25;55.24;0.401
montastraea cavernosa;diodon hystrix;1;0.06;-2.93;3.13;-14.71;-53.19;12.23;-27.46;-69.44;10.89;0.44
montastraea cavernosa;cryptotomus roseus;1;0.01;-1.7;2.09;10.01;2.54;19.68;0.04;-1.02;1.17;0.031
montastraea cavernosa;odontoscion dentex;1;-1.75;-4.85;1.87;6.79;-13.08;44.24;15.29;0.76;52.06;0.34
montastraea cavernosa;aluterus monoceros;1;-0.64;-3.57;2.01;43.3;13.44;80.02;3.98;-2.14;12.38;0.443
montastraea cavernosa;haemulon steindachneri;1;-0.45;-3.51;2.37;24.13;-1.93;55.5;33.83;10.85;64.32;0.5
montastraea cavernosa;lactophrys trigonus;1;-0.54;-3.48;2.23;42.77;13.47;80.64;3.61;-2.7;12.21;0.448
montastraea cavernosa;mycteroperca acutirostris;1;0.58;-1.13;2.85;5.98;-0.26;16.31;3.15;1.12;6.17;0.304
montastraea cavernosa;sphoeroides spengleri;1;1.17;-0.36;3.34;2.32;-1.48;10.26;2.8;0.76;6.14;0.015
montastraea cavernosa;synodus intermedius;1;0.12;-2.53;3;-0.33;-35.56;25.47;23.35;-0.84;68.22;0.676
montastraea cavernosa;balistes vetula;1;-0.1;-2.83;2.7;20.11;3.46;46.49;-25.15;-62.44;1.03;0.19
montastraea cavernosa;canthigaster figueiredoi;1;-1.21;-4.14;2.39;-16.77;-58.02;0.05;7.52;-0.4;31.81;0.132
montastraea cavernosa;chilomycterus spinosus spinosus;1;-0.22;-3.3;2.94;-25.81;-67.04;-0.37;-4.79;-23.02;13.72;0.172
montastraea cavernosa;diplodus argenteus;1;-1.72;-3.94;-0.26;-6.66;-15.6;-1;1.37;0.51;2.38;0.277
montastraea cavernosa;labrisomus nuchipinnis;1;-0.05;-3.39;3.17;-25.57;-66.64;7.92;5.74;-14.68;30.52;0.445
montastraea cavernosa;dactylopterus volitans;1;-0.2;-3.71;2.87;-8.74;-50.43;22.56;9.35;-37.63;58.54;0.566
montastraea cavernosa;kyphosus sectatrix;1;0.18;-2.87;3.15;-22.6;-56.35;4.16;0.49;-49.33;53.97;0.564
montastraea cavernosa;aulostomus strigosus;1;-0.11;-3.61;3;-13.39;-52.46;16.05;-11.45;-57.81;44.5;0.597
montastraea cavernosa;caranx crysos;1;0.1;-2.79;3.11;-19.14;-51.03;4.6;-19.43;-68.48;39.83;0.555
montastraea cavernosa;fistularia tabacaria;1;0.07;-3.19;3.19;-29.97;-71.8;2.62;1.54;-21.18;26.74;0.588
montastraea cavernosa;chaenopsis ocellata;1;-0.25;-3.98;2.89;-11.3;-49.79;18.65;1.5;-50.19;55.94;0.554
montastraea cavernosa;chaetodon striatus;1;-0.65;-3.68;2.81;-21.76;-66.56;1.83;-2.55;-19.07;10.48;0.142
montastraea cavernosa;priacanthus arenatus;1;-1.61;-5.41;1.71;0.85;-29.52;24.02;1.03;-25.67;31.21;0.434
montastraea cavernosa;bodianus pulchellus;1;-2.44;-4.56;-1.07;-5.03;-13.74;-0.21;0.23;-0.51;1.01;0.102
montastraea cavernosa;chaetodon sedentarius;1;-0.57;-4.12;2.73;-18.44;-59;7.65;16.19;-15.82;56.78;0.235
montastraea cavernosa;elacatinus figaro;1;-0.16;-3.69;2.84;-13.05;-51.08;16.47;-9.6;-58.87;45.7;0.521
montastraea cavernosa;serranus baldwini;1;-0.08;-3.12;3.08;-21.36;-69.52;8.87;-0.19;-16.17;14.72;0.375
montastraea cavernosa;sphoeroides greeleyi;1;-0.31;-4.05;2.98;-12.66;-49.92;16;-1.7;-50.34;48.65;0.55
montastraea cavernosa;stephanolepis hispidus;1;-2.22;-4.4;-0.85;-5.57;-14.68;-0.42;0.23;-0.47;0.98;0.01
montastraea cavernosa;sparisoma tuiupiranga;1;-2.8;-5.18;-0.13;-3.54;-13.58;6.53;0.09;-1.03;1.26;0.459
montastraea cavernosa;epinephelus morio;1;-0.46;-3.72;2.95;-18.74;-62.71;9.65;11.49;0.28;36.91;0.243
montastraea cavernosa;heteropriacanthus cruentatus;1;-0.38;-3.9;2.67;-3.03;-44.92;34.76;-29.54;-67.87;1.41;0.467
montastraea cavernosa;myrichthys ocellatus;1;-0.35;-3.67;2.65;0.46;-42.9;39.27;-29.33;-66.83;0.56;0.457
montastraea cavernosa;acanthostracion quadricornis;1;-0.66;-4.37;2.41;4.13;-39.23;40.2;-23.1;-62.72;1.29;0.401
montastraea cavernosa;epinephelus marginatus;1;-2.16;-4.93;0.94;-3.09;-14.43;12.36;6.66;1.21;20.42;0.1
montastraea cavernosa;mugil curema;1;-0.84;-4.66;2.3;9.66;-33.79;51.66;-21.21;-60.74;0.64;0.394
montastraea cavernosa;orthopristis ruber;1;-0.07;-2.9;2.89;-7.86;-44.37;20.73;30.91;3.54;68.31;0.143
montastraea cavernosa;kyphosus vaigiensis;1;-2.15;-6.5;2.07;9.76;-24.25;56.29;8.57;-0.18;36.46;0.124
montastraea cavernosa;mycteroperca interstitialis;1;-0.66;-4.26;2.35;15.76;-19.11;50.48;15.51;0.1;49.48;0.553
montastraea cavernosa;eucinostomus melanopterus;1;-0.93;-4.66;2.07;30.09;-2.12;65.77;6.75;0.79;15.03;0.506
montastraea cavernosa;lutjanus cyanopterus;1;-1;-5;2.02;29.07;-16.82;76.1;11.61;0.93;39.58;0.324
montastraea cavernosa;calamus penna;1;-0.04;-3.39;3.17;-14.79;-53.06;15.77;-10.4;-63.52;43.87;0.628
montastraea cavernosa;seriola rivoliana;1;-0.11;-3.28;2.86;-15.04;-52.23;13.37;-11.87;-61.86;45.44;0.629
montastraea cavernosa;parablennius pilicornis;1;-0.28;-3.66;2.72;3.49;-46.16;46.12;21.33;-3.97;64.11;0.682
montastraea cavernosa;pareques acuminatus;1;-0.09;-3.16;2.91;1.25;-45.28;44.33;28.42;-5.08;66.52;0.686
montastraea cavernosa;rhomboplites aurorubens;1;-1.25;-5.43;2.18;12.97;-7.57;35.96;2.43;-0.4;6.49;0.561
montastraea cavernosa;sphoeroides testudineus;1;-0.1;-3.22;3;2.45;-47.8;44.04;24.15;-13.73;64.09;0.779
montastraea cavernosa;myripristis jacobus;1;-0.24;-3.34;2.69;-2.49;-49.87;39.38;22.97;-8.42;63;0.769
montastraea cavernosa;acanthurus chirurgus;2;-2;-4.05;0.56;-2.14;-10.71;9.69;-1.63;-3.16;-0.54;0.526
montastraea cavernosa;chaenopsis ocellata;2;-2.97;-4.69;-1.59;-2.74;-8.21;0.11;-1.04;-2.03;-0.15;0.558
montastraea cavernosa;sparisoma frondosum;2;0.63;-1.34;3.15;8.36;0.76;20.75;-3.1;-5.66;-0.07;0.666
montastraea cavernosa;sparisoma axillare;2;0.17;-2.32;3.02;14.33;2.94;28.94;-2.62;-6.64;-0.35;0.544
montastraea cavernosa;sparisoma radians;2;0.34;-2.36;3.37;-28.67;-70.91;-0.18;-3.56;-11.22;0.63;0.399
montastraea cavernosa;stegastes variabilis;2;1.76;-0.94;5.27;14.89;2.11;31.89;2.12;0.2;3.27;0.264
montastraea cavernosa;thalassoma noronhanum;2;-1.83;-3.26;-0.8;-3.6;-9.54;-0.25;-0.84;-1.56;-0.14;0.27
montastraea cavernosa;acanthurus coeruleus;2;0.64;-1.31;3.03;13.89;4.75;26.42;-2.92;-8.1;-0.34;0.103
montastraea cavernosa;chaetodon striatus;2;2.58;1.13;4.74;3.29;0.07;9.17;0.94;-0.14;2.26;0
montastraea cavernosa;stegastes fuscus;2;1.72;0.64;3.18;3.73;0.31;9.93;0.75;0.07;1.49;0.008
montastraea cavernosa;amblycirrhitus pinos;2;-0.24;-3.4;2.64;9.38;-31.55;45.66;-29.43;-64.38;-0.68;0.702
montastraea cavernosa;chromis multilineata;2;0.31;-2.36;3.26;-35.81;-72.81;-6.09;14.32;1.38;31.56;0.25
montastraea cavernosa;haemulon squamipinna;2;-2.44;-4.81;-0.17;-5.84;-17.25;-0.05;-1.71;-9.82;0.48;0.356
montastraea cavernosa;halichoeres brasiliensis;2;0.9;-1.54;3.65;25.31;2.53;59.47;-11.73;-35.68;1.85;0.336
montastraea cavernosa;halichoeres penrosei;2;-0.23;-3.14;2.67;-8.74;-38.36;13.51;-26.82;-63.37;-4.06;0.244
montastraea cavernosa;halichoeres poeyi;2;0.29;-0.88;2.25;2.73;-0.89;11.65;0.41;-0.37;1.25;0.014
montastraea cavernosa;ophioblennius macclurei;2;-0.1;-3.12;2.85;6;-40.72;46.36;-30.63;-65.95;-1.45;0.79
montastraea cavernosa;serranus baldwini;2;-2.15;-4.31;-0.76;-5.62;-14.7;-0.45;0.14;-0.58;0.89;0.038
montastraea cavernosa;haemulon aurolineatum;2;0.89;-1.18;3.84;8.35;-0.03;19.36;1.57;-1.74;9.08;0.612
montastraea cavernosa;abudefduf saxatilis;2;1.81;0.33;3.86;5.12;0.6;12.77;1.41;0.46;2.61;0.076
montastraea cavernosa;stegastes rocasensis;2;-2.69;-4.85;-1.29;-5.14;-14.18;-0.25;-0.26;-1.04;0.51;0.454
montastraea cavernosa;apogon americanus;2;-0.12;-3.34;2.85;-17.85;-56.46;14.84;-1.56;-51.23;52.37;0.678
montastraea cavernosa;halichoeres radiatus;2;0.63;-1.33;3.36;4.81;-0.65;14.14;-0.44;-1.82;0.67;0.509
montastraea cavernosa;coryphopterus glaucofraenum;2;0.25;-2.67;3.37;-32.89;-71.74;-0.78;-1.94;-10.24;4.17;0.686
montastraea cavernosa;acanthurus bahianus;2;-0.02;-2.31;2.47;15.88;4.43;30.55;1.99;0.01;4.72;0.01
montastraea cavernosa;cryptotomus roseus;2;0.33;-1.02;2.31;4;-0.59;12.68;0.37;-0.4;1.23;0.001
montastraea cavernosa;sparisoma tuiupiranga;2;0.35;-1.01;2.12;7.26;1.79;14.77;0.04;-0.7;0.84;0.146
montastraea cavernosa;haemulon plumierii;2;-0.65;-3.48;2.03;43.16;14.73;80.18;3.52;-2.5;11.68;0.455
montastraea cavernosa;canthigaster figueiredoi;2;1.44;-0.13;3.71;3.54;-1.21;11.54;1.63;-0.08;4.73;0.016
montastraea cavernosa;malacoctenus delalandii;2;-0.7;-3.88;2.1;42.58;11.49;81.82;2.5;-4.43;11.03;0.349
montastraea cavernosa;ocyurus chrysurus;2;-0.66;-3.73;2.12;42.29;12.41;79.51;2.38;-3.38;10.97;0.343
montastraea cavernosa;pomacanthus paru;2;-0.72;-3.83;2.1;41.86;12.03;79.93;2.18;-4.82;10.99;0.358
montastraea cavernosa;scarus zelindae;2;0.12;-2.16;3.05;9.28;0.65;21.39;0.52;-3.22;4;0.485
montastraea cavernosa;anisotremus moricandi;2;-1.38;-5.29;2.12;0.97;-29.76;24.52;-6.04;-47.01;4.01;0.451
montastraea cavernosa;sphoeroides spengleri;2;-1.21;-3.57;1.49;-10.58;-40.61;-0.33;2.63;0.05;9.86;0.221
montastraea cavernosa;chaetodon sedentarius;2;-2.72;-4.88;-1.32;-4.9;-13.74;-0.1;-0.07;-0.85;0.78;0.664
montastraea cavernosa;bodianus pulchellus;2;0;-3.07;2.99;-16.2;-53.07;11.79;25;-0.28;61.87;0.644
montastraea cavernosa;chilomycterus spinosus spinosus;2;-0.06;-3.38;3.09;-14.78;-51.56;14.29;-6.37;-61.5;55.17;0.546
montastraea cavernosa;holocentrus adscensionis;2;-0.09;-3.06;2.83;-17.6;-53.01;6.82;-28;-68.47;11.6;0.307
montastraea cavernosa;pseudupeneus maculatus;2;-1.93;-4.56;1.55;-10.85;-50.07;2.67;3.57;-0.82;23.85;0.182
montastraea cavernosa;stephanolepis hispidus;2;-3;-5.1;-1.58;-4.55;-12.79;-0.05;-0.03;-0.86;0.9;0.358
montastraea cavernosa;bodianus rufus;2;-0.32;-3.51;2.65;5.74;-40.09;50.6;29.92;2.83;67.27;0.33
montastraea cavernosa;diplodus argenteus;2;0.09;-2.9;3.1;-30.56;-67.23;0.36;9.43;-15.16;34.49;0.444
montastraea cavernosa;sphoeroides greeleyi;2;-0.26;-3.39;2.7;12.02;-38.06;57.48;20.83;-0.77;54.57;0.673
montastraea cavernosa;anisotremus virginicus;2;-0.27;-3.43;2.58;11.07;-41.11;55.17;22.73;0.28;56.73;0.692
montastraea cavernosa;labrisomus nuchipinnis;2;-0.37;-3.67;2.51;11.11;-37.4;51.66;22.52;0.42;59.2;0.681
montastraea cavernosa;sphoeroides testudineus;2;-0.27;-3.38;2.73;10.78;-37.1;52.36;22.01;0.03;56.55;0.691
montastraea cavernosa;synodus synodus;2;-0.35;-3.81;2.8;2.92;-45.63;45.32;20.33;-5.8;59.51;0.688
montastraea cavernosa;sparisoma amplum;2;-0.19;-3.45;2.83;1.16;-47.97;41.34;20.26;-10.53;57.78;0.761
;;;;;;;;;;;;
mussismilia harttii;acanthurus bahianus;1;2.38;1.01;4.55;4.04;0.35;10.87;0.13;-0.55;0.81;0.022
mussismilia harttii;acanthurus chirurgus;1;1.03;0.37;1.77;-0.46;-1.2;0.2;-0.54;-1.44;0.22;0
mussismilia harttii;haemulon plumierii;1;-0.15;-1.22;1.93;1.42;0.06;4.79;-1.22;-5.12;0.03;0.043
mussismilia harttii;halichoeres dimidiatus;1;-1.69;-4.24;0.99;-7.86;-29.21;-0.31;-4.42;-21.92;0.06;0.098
mussismilia harttii;ocyurus chrysurus;1;-0.51;-1.54;1.54;1.97;-0.05;8.82;-0.2;-0.91;0.55;0.004
mussismilia harttii;pomacanthus arcuatus;1;-2.49;-4.14;-1.14;-2.47;-7.11;0.35;1.65;-0.55;2.66;0.314
mussismilia harttii;pseudupeneus maculatus;1;1.84;0.69;3.84;0.53;-0.64;2.86;-0.95;-2.95;0.31;0.011
mussismilia harttii;sparisoma axillare;1;2.6;1.22;4.67;3.97;0.29;10.15;-0.9;-2;0;0.001
mussismilia harttii;sparisoma frondosum;1;2.25;0.89;4.38;4.24;0.41;10.99;0.04;-0.66;0.72;0.074
mussismilia harttii;thalassoma noronhanum;1;-0.93;-1.62;-0.28;0.08;-0.63;0.73;-0.62;-1.31;0.04;0
mussismilia harttii;abudefduf saxatilis;1;4.87;2.58;8.22;2.45;-0.8;8.62;-0.03;-2.15;1.57;0
mussismilia harttii;acanthurus coeruleus;1;1.9;0.34;4.1;5.96;1.3;12.89;-1.08;-2.02;-0.26;0.143
mussismilia harttii;anisotremus virginicus;1;2.21;0.99;4.44;1.43;-0.33;5.54;-0.2;-1.93;1.05;0.009
mussismilia harttii;bodianus rufus;1;0.89;-0.13;2.86;1.96;-0.13;8.04;0.4;-0.29;1.12;0.011
mussismilia harttii;carangoides bartholomaei;1;-0.38;-1.24;0.62;0.27;-0.69;1.28;-0.23;-0.93;0.49;0.016
mussismilia harttii;caranx ruber;1;-1.02;-4.63;2.63;-13.59;-59.05;12.66;-7.36;-29.67;0.55;0.359
mussismilia harttii;haemulon aurolineatum;1;0.9;0.17;1.99;0.53;-0.57;3.77;0.18;-0.46;0.84;0
mussismilia harttii;haemulon parra;1;0.52;-1.05;2.59;6.75;1.5;13.79;-1.24;-2.42;-0.26;0.562
mussismilia harttii;halichoeres bivittatus;1;-0.32;-3.38;2.54;9.87;-24.75;43.22;-33.25;-69.4;-5.58;0.293
mussismilia harttii;halichoeres brasiliensis;1;1.82;0.38;4.15;4.97;0.81;12.16;0.67;0.01;1.41;0
mussismilia harttii;halichoeres poeyi;1;1.57;0.63;3.24;0.94;-0.54;5.52;0.37;-0.41;1.23;0.001
mussismilia harttii;holacanthus ciliaris;1;-0.08;-1.37;2.18;0.72;-1.84;7.7;-1.33;-4.08;0.03;0.11
mussismilia harttii;holocentrus adscensionis;1;1.37;0.62;2.27;-0.01;-0.74;0.8;0.28;-0.5;1.1;0
mussismilia harttii;lutjanus jocu;1;-0.52;-1.51;0.81;-0.52;-2;0.4;-0.87;-2.48;0.08;0.052
mussismilia harttii;pomacanthus paru;1;0.14;-0.51;0.82;-0.71;-1.74;0.09;-0.07;-0.77;0.61;0.009
mussismilia harttii;scarus trispinosus;1;-1.06;-2.06;0.25;-0.3;-1.63;0.64;-1.24;-4.27;-0.08;0.006
mussismilia harttii;scarus zelindae;1;0.08;-0.78;1.15;2.44;0.5;5.65;-0.21;-0.88;0.43;0.007
mussismilia harttii;sparisoma amplum;1;-0.35;-1.75;1.84;2.79;0.26;9.16;0.21;-0.75;1.27;0.184
mussismilia harttii;sparisoma radians;1;0.39;-1.25;2.6;5.71;0.8;12.74;-0.4;-1.44;0.55;0.288
mussismilia harttii;sphyraena barracuda;1;-0.94;-4.69;2.54;10.09;-5.19;31.86;-9.14;-47.08;-0.35;0.255
mussismilia harttii;stegastes variabilis;1;0.27;-2.2;3.25;7.46;0.66;18.3;-1.69;-5.14;0.42;0.612
mussismilia harttii;lutjanus apodus;1;-0.47;-3.65;2.39;12.57;-38.74;62.39;-22.14;-61.28;-2.1;0.695
mussismilia harttii;acanthostracion polygonius;1;-0.01;-2.84;2.92;-18.53;-50.66;2.69;-31.99;-68.33;-0.19;0.403
mussismilia harttii;amblycirrhitus pinos;1;-0.17;-3.25;2.6;5.84;-36.94;43.21;-31.53;-73;1.12;0.731
mussismilia harttii;anisotremus surinamensis;1;0.16;-2.73;3.25;-34.53;-76.4;-1.37;3.91;-8.97;16.34;0.349
mussismilia harttii;aulostomus maculatus;1;-0.22;-3.34;2.61;4.1;-41.3;41.43;-28.29;-67.14;11.28;0.738
mussismilia harttii;cantherhines pullus;1;-2.22;-4.38;-0.83;-4.53;-11.89;-0.36;-0.6;-0.99;0.52;0.112
mussismilia harttii;canthidermis maculata;1;-1.75;-2.83;-0.7;0.57;-0.85;1.27;-0.17;-1.06;0.76;0.285
mussismilia harttii;cephalopholis fulva;1;-1.34;-2.21;-0.52;1.49;0.39;3.2;-0.26;-1.08;0.57;0.223
mussismilia harttii;chromis multilineata;1;0.83;-0.22;2.7;0.84;-0.92;5.56;0.39;-0.4;1.27;0.001
mussismilia harttii;clepticus brasiliensis;1;-0.6;-3.77;2.61;-8.78;-54.59;9.27;0.33;-4.92;9.38;0.389
mussismilia harttii;epinephelus adscensionis;1;-0.22;-2.22;2.33;7.52;0.88;17.62;-0.78;-5.69;1.29;0.47
mussismilia harttii;halichoeres penrosei;1;-0.08;-2.82;2.67;-18.29;-53.64;4.99;-33;-71.71;-2.73;0.466
