"eventID","higherGeography","verbatimLocality","site","locality","year","eventDate","minimumDepthinMeters","maximumDepthinMeters","samplingProtocol","samplingEffort","sampleSizeValue","decimalLongitude","decimalLatitude","geodeticDatum","Country","countryCode"
"33","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_siriba_2010_video1","BrazilianCoast","siriba","abrolhos","siriba",2010,2010-03-02,3.48282828282828,3.48282828282828,"video plot",5,2,-38.71583333,-17.97055556,"decimal degrees","Brazil","BR"
"34","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_siriba_2010_video2","BrazilianCoast","siriba","abrolhos","siriba",2010,2010-03-02,2.79736842105263,2.79736842105263,"video plot",5,2,-38.71583333,-17.97055556,"decimal degrees","Brazil","BR"
"35","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_siriba_2010_video3","BrazilianCoast","siriba","abrolhos","siriba",2010,2010-03-02,3.01764705882353,3.01764705882353,"video plot",5,2,-38.71583333,-17.97055556,"decimal degrees","Brazil","BR"
"36","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_siriba_2010_video4","BrazilianCoast","siriba","abrolhos","siriba",2010,2010-03-02,2.70806451612903,2.70806451612903,"video plot",5,2,-38.71583333,-17.97055556,"decimal degrees","Brazil","BR"
"37","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_siriba_2010_video5","BrazilianCoast","siriba","abrolhos","siriba",2010,2010-03-02,2.35573770491803,2.35573770491803,"video plot",5,2,-38.71583333,-17.97055556,"decimal degrees","Brazil","BR"
"38","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_anequim_2011_video1","BrazilianCoast","anequim","arraial","anequim",2011,2011-04-17,7.04545454545455,7.04545454545455,"video plot",5,2,-41.984482,-22.980484,"decimal degrees","Brazil","BR"
"39","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_anequim_2011_video2","BrazilianCoast","anequim","arraial","anequim",2011,2011-04-17,5.91291666666667,5.91291666666667,"video plot",5,2,-41.984482,-22.980484,"decimal degrees","Brazil","BR"
"40","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_anequim_2011_video3","BrazilianCoast","anequim","arraial","anequim",2011,2011-04-17,7.39234042553192,7.39234042553192,"video plot",5,2,-41.984482,-22.980484,"decimal degrees","Brazil","BR"
"41","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_anequim_2011_video4","BrazilianCoast","anequim","arraial","anequim",2011,2011-04-17,7.08921568627451,7.08921568627451,"video plot",5,2,-41.984482,-22.980484,"decimal degrees","Brazil","BR"
"42","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:arraial_anequim_2011_video5","BrazilianCoast","anequim","arraial","anequim",2011,2011-04-17,6.842,6.842,"video plot",5,2,-41.984482,-22.980484,"decimal degrees","Brazil","BR"
