eventID,higherGeographyID,locationID,verbatimLocality,locality,eventYear,eventDate,minimumDepthinMeters,maximumDepthinMeters,samplingProtocol,samplingEffort,sampleSizeValue,decimalLongitude,decimalLatitude,geodeticDatum,Country,countryCode
56,BR:SISBIOTA-MAR:arraial_anequim_2010_Video4,BrazilianCoast,arraial,anequim,anequim,2010,2010-04-17,5.2,11.8,photoquadrats,5,0.0625,-41.984482,-22.980484,decimal degrees,Brazil,BR
57,BR:SISBIOTA-MAR:arraial_anequim_2010_Video5,BrazilianCoast,arraial,anequim,anequim,2010,2010-04-17,4.5,11,photoquadrats,5,0.0625,-41.984482,-22.980484,decimal degrees,Brazil,BR
58,BR:SISBIOTA-MAR:arraial_cardeiros_2010_Video1,BrazilianCoast,arraial,cardeiros,cardeiros,2010,2010-04-16,3.33333333333333,9.66666666666667,photoquadrats,5,0.0625,-42.00165556,-22.96514167,decimal degrees,Brazil,BR
59,BR:SISBIOTA-MAR:arraial_cardeiros_2010_Video2,BrazilianCoast,arraial,cardeiros,cardeiros,2010,2010-04-16,3.33333333333333,9.66666666666667,photoquadrats,5,0.0625,-42.00165556,-22.96514167,decimal degrees,Brazil,BR
60,BR:SISBIOTA-MAR:arraial_cardeiros_2010_Video3,BrazilianCoast,arraial,cardeiros,cardeiros,2010,2010-04-16,4,10.4285714285714,photoquadrats,5,0.0625,-42.00165556,-22.96514167,decimal degrees,Brazil,BR
61,BR:SISBIOTA-MAR:arraial_cardeiros_2010_Video4,BrazilianCoast,arraial,cardeiros,cardeiros,2010,2010-04-16,8,15,photoquadrats,5,0.0625,-42.00165556,-22.96514167,decimal degrees,Brazil,BR
62,BR:SISBIOTA-MAR:arraial_cardeiros_2010_Video5,BrazilianCoast,arraial,cardeiros,cardeiros,2010,2010-04-16,8,15,photoquadrats,5,0.0625,-42.00165556,-22.96514167,decimal degrees,Brazil,BR
63,BR:SISBIOTA-MAR:arraial_porcos_oeste_2010_Video1,BrazilianCoast,arraial,porcos_oeste,porcos_oeste,2010,2010-04-18,2.75,9,photoquadrats,5,0.0625,-41.993723,-22.96573,decimal degrees,Brazil,BR
64,BR:SISBIOTA-MAR:arraial_porcos_oeste_2010_Video2,BrazilianCoast,arraial,porcos_oeste,porcos_oeste,2010,2010-04-18,2.75,9,photoquadrats,5,0.0625,-41.993723,-22.96573,decimal degrees,Brazil,BR
65,BR:SISBIOTA-MAR:arraial_porcos_oeste_2010_Video3,BrazilianCoast,arraial,porcos_oeste,porcos_oeste,2010,2010-04-18,1,7,photoquadrats,5,0.0625,-41.993723,-22.96573,decimal degrees,Brazil,BR
66,BR:SISBIOTA-MAR:arraial_porcos_oeste_2010_Video4,BrazilianCoast,arraial,porcos_oeste,porcos_oeste,2010,2010-04-19,5.66666666666667,12.3333333333333,photoquadrats,5,0.0625,-41.993723,-22.96573,decimal degrees,Brazil,BR
67,BR:SISBIOTA-MAR:arraial_porcos_oeste_2010_Video5,BrazilianCoast,arraial,porcos_oeste,porcos_oeste,2010,2010-04-19,6.25,13,photoquadrats,5,0.0625,-41.993723,-22.96573,decimal degrees,Brazil,BR
68,BR:SISBIOTA-MAR:btds_santos_farol_da_barra_2012_Video1,BrazilianCoast,btds_santos,farol_da_barra,farol_da_barra,2012,NA,1,7,photoquadrats,5,0.0625,-38.530833,-13.008333,decimal degrees,Brazil,BR
69,BR:SISBIOTA-MAR:btds_santos_farol_da_barra_2012_Video2,BrazilianCoast,btds_santos,farol_da_barra,farol_da_barra,2012,NA,1,7,photoquadrats,5,0.0625,-38.530833,-13.008333,decimal degrees,Brazil,BR
70,BR:SISBIOTA-MAR:btds_santos_farol_da_barra_2012_Video3,BrazilianCoast,btds_santos,farol_da_barra,farol_da_barra,2012,NA,1,7,photoquadrats,5,0.0625,-38.530833,-13.008333,decimal degrees,Brazil,BR
71,BR:SISBIOTA-MAR:btds_santos_farol_da_barra_2012_Video4,BrazilianCoast,btds_santos,farol_da_barra,farol_da_barra,2012,NA,1,7,photoquadrats,5,0.0625,-38.530833,-13.008333,decimal degrees,Brazil,BR
72,BR:SISBIOTA-MAR:btds_santos_farol_da_barra_2012_Video5,BrazilianCoast,btds_santos,farol_da_barra,farol_da_barra,2012,NA,1,7,photoquadrats,5,0.0625,-38.530833,-13.008333,decimal degrees,Brazil,BR
73,BR:SISBIOTA-MAR:btds_santos_farol_da_barra_2012_Video6,BrazilianCoast,btds_santos,farol_da_barra,farol_da_barra,2012,NA,1,7,photoquadrats,5,0.0625,-38.530833,-13.008333,decimal degrees,Brazil,BR
74,BR:SISBIOTA-MAR:btds_santos_farol_da_barra_2012_Video7,BrazilianCoast,btds_santos,farol_da_barra,farol_da_barra,2012,NA,1,7,photoquadrats,5,0.0625,-38.530833,-13.008333,decimal degrees,Brazil,BR
